ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('neutral', 0.521)",neutral,Angry,"('Angry', 0.4154493467769032)",I hope Rand know that this country deny domestic terrorism when it come to specific group commit the crime
"('positive', 0.977)",positive,Excited,"('Excited', 0.468618657834512)",Frank Great News for Ted | for President
"('negative', 0.476)",negative,Sad,"('Sad', 0.2757934486393259)",Bush at the If you really want to find out how much damage one family can do to a country
"('negative', 0.493)",negative,Angry,"('Angry', 0.33251551426542597)",If Trump become president move out of the country again Far far away from his terrible comb over
"('neutral', 0.566)",neutral,Excited,"('Excited', 0.2511913504226135)",Winning a presidential debate be the concept Its suppose to be a discussion of not a piss contest
"('negative', 0.689)",negative,Sad,"('Sad', 0.2578525565041988)",Odd be more upset over openly limit weaponry than when secretly increase it
"('positive', 0.814)",positive,Angry,"('Angry', 0.33131957450886423)",I love it in the when say the country need him to straighten out the financial mess
"('negative', 0.837)",negative,Angry,"('Angry', 0.4037054671929656)",you have no credibility frank
"('negative', 0.569)",negative,Bored,"('Bored', 0.3878593043350034)",These crazy diss like every two
"('neutral', 0.817)",neutral,Fear,"('Fear', 0.2932413542459175)",Think we need to see birth certificate to verify his tweet after the last prove him to be about
"('neutral', 0.405)",neutral,Fear,"('Fear', 0.30174859088348255)",an audience who laugh with a Man that publicly call derogatory name Be very afraid VOTE
"('negative', 0.591)",negative,Angry,"('Angry', 0.4858702645272862)",Hey no way go to fool your nor change history you say so
"('negative', 0.475)",negative,Angry,"('Angry', 0.29195108781068246)",Men decide what can or cannot do with their body World history in a nutshell
"('neutral', 0.603)",neutral,Fear,"('Fear', 0.24643648384872102)",A HISTORIC FIRST Republican presidential candidate be now actively troll the female moderator on Twitter
"('neutral', 0.52)",neutral,Excited,"('Excited', 0.3325485906265805)",water rise fast history catch up at last Thats it in a nutshell Smith King
"('positive', 0.676)",positive,Excited,"('Excited', 0.40548926696924337)",Yes be on of his shin through
"('neutral', 0.569)",neutral,Fear,"('Fear', 0.3017950824341449)",Last night in the someone ask the if if any of them know what stand for
"('neutral', 0.437)",neutral,Fear,"('Fear', 0.40212761610671144)",The as tell in sketch
"('positive', 0.568)",positive,Excited,"('Excited', 0.28394447958916685)",Trump just give a master class on how to get away with
"('negative', 0.567)",negative,Bored,"('Bored', 0.2584424746892899)",Lame question for Trump Kelly
"('negative', 0.6)",negative,Sad,"('Sad', 0.3617637891592428)",My son why do they stay talk about Me Because the power they want most be over
"('positive', 0.539)",positive,Excited,"('Excited', 0.3555622066272752)",and most in general have no problem the oppression of marginalize
"('neutral', 0.505)",neutral,Fear,"('Fear', 0.25216552806108683)",Perry adviser Rob Trump have spend say fire and Perry have spend say hire
"('negative', 0.504)",negative,Fear,"('Fear', 0.4643071422418341)",be so it be downright disgust
"('neutral', 0.772)",neutral,Excited,"('Excited', 0.4237744324990856)",go money go out drug come in no problem w legal immigration
"('negative', 0.555)",negative,Sad,"('Sad', 0.30701261259897367)",as if he have just leave a horror movie show stun stilted freeze doesnt want to be President
"('positive', 0.985)",positive,Happy,"('Happy', 0.39599221217298736)",I love it in the when say make billion And owe trillion
"('positive', 0.899)",positive,Excited,"('Excited', 0.443169464282364)",Highlight White During
"('negative', 0.716)",negative,Sad,"('Sad', 0.5399325770044647)",Sadly theres too many Look at and with
"('positive', 0.663)",positive,Fear,"('Fear', 0.32334637995642457)",I say the other day that every time speak pee a little still true
"('negative', 0.459)",negative,Fear,"('Fear', 0.33959547998620987)",You know how your grandpa say something embarrass each and you just have to roll with it That be last nights
"('negative', 0.961)",negative,Bored,"('Bored', 0.3709809204848365)",Disappointed be my media after think
"('negative', 0.617)",negative,Sad,"('Sad', 0.7138191046981789)",basically in tear as I keep yell Separation of church and state at my
"('positive', 0.979)",positive,Excited,"('Excited', 0.4571223187115858)",Oh and help make the of their best one yet Amen
"('negative', 0.712)",negative,Fear,"('Fear', 0.2694272755875931)",Drudge Report have Trump run away with the debate at be at almost
"('neutral', 0.456)",neutral,Angry,"('Angry', 0.3069076367125375)",Kelly you be an unqualified misinform idiot Who be you fool paraphrase here
"('neutral', 0.608)",neutral,Fear,"('Fear', 0.28717133302945486)",Does Ben also want to follow law on wive stone them in front of their father house
"('positive', 0.73)",positive,Sad,"('Sad', 0.4065674378018608)",look like fun Though I think I miss the swimsuit and talent contest round
"('neutral', 0.42)",neutral,Excited,"('Excited', 0.29438297892139415)",Starting at be join us to Tweet about poverty and other the fail to address
"('neutral', 0.649)",neutral,Fear,"('Fear', 0.406294834763595)",Is it jut me or be play D chess in a room full of checker
"('positive', 0.817)",positive,Bored,"('Bored', 0.5008664419544242)",Watching the in with our intern and
"('neutral', 0.385)",neutral,Bored,"('Bored', 0.34462730556083127)",FOX news last night reveal themselves to what many of us already know they be Bush
"('positive', 0.836)",positive,Fear,"('Fear', 0.332705188391824)",and audience at the its HILARIOUS to call fat pig and tell them to get on their Laugh aw
"('negative', 0.703)",negative,Fear,"('Fear', 0.3599945755283884)",response I think the biggest problem this country have be be politically correct
"('negative', 0.608)",negative,Fear,"('Fear', 0.2649761718241006)",So Trump be uncouth misogynist Another thing he have in common with Bill
"('negative', 0.612)",negative,Bored,"('Bored', 0.31503523562407354)",Trump be do after last night end of story
"('positive', 0.943)",positive,Fear,"('Fear', 0.25908468424045894)",Fun Fact be the only one of last nights to have ever give a woman an orgasm
"('neutral', 0.701)",neutral,Fear,"('Fear', 0.2717180102747479)",Maybe the only way to compete with Trump be to bring one of the Duck Dynasty character into the primary
"('positive', 0.913)",positive,Excited,"('Excited', 0.450690080286815)",entire performance Dont hate the player The rule be make for me and I love it
"('neutral', 0.81)",neutral,Fear,"('Fear', 0.35702766659149)",The in picture
"('negative', 0.657)",negative,Sad,"('Sad', 0.30588210619966233)",Are they run for pope or president Why would you end a political debate by ask if anyone be hear DIRECTLY FROM
"('neutral', 0.731)",neutral,Excited,"('Excited', 0.286373119594266)",Because karma
"('positive', 0.495)",positive,Fear,"('Fear', 0.22241923549421533)",When Bush speak during a debate it feel like when a band play something off the new album
"('neutral', 0.726)",neutral,Fear,"('Fear', 0.27264145307914606)",Closed At Actually Cat Walking On Keyboard
"('negative', 0.449)",negative,Angry,"('Angry', 0.2101014559147939)",And that be only because someone in the crowd run up to during the break to suggest it
"('positive', 0.555)",positive,Angry,"('Angry', 0.24815865446321264)",Spot on what I believe s attitude would be of his once reality hit
"('negative', 0.608)",negative,Angry,"('Angry', 0.24191804147631052)",He load
"('neutral', 0.449)",neutral,Angry,"('Angry', 0.2916998712154231)",a news reporter I dont care to hear your personal opinion disdain for a candidate
"('positive', 0.612)",positive,Excited,"('Excited', 0.3209326322763822)",last nights be crazy pretty entertain but i think very few show presidential stature
"('negative', 0.512)",negative,Bored,"('Bored', 0.451957961358516)",Shame on them they should have watch rerun of the Apprentice and take some note
"('neutral', 0.538)",neutral,Fear,"('Fear', 0.3372977868906762)",I dont think there be a single question in about science conservation or climate except maybe Would you
"('negative', 0.438)",negative,Fear,"('Fear', 0.19627005914066264)",Recap of the these want to make for all
"('positive', 0.46)",positive,Sad,"('Sad', 0.1992517101700613)",Trump pack his in a separate suitcase that never make it THIS THE BEST DEBATE EVER
"('negative', 0.508)",negative,Fear,"('Fear', 0.3753260921519647)",Definitely there Massacre by FOX Deliberate attempt to smear
"('positive', 0.786)",positive,Happy,"('Happy', 0.3191747068889365)",back at the perfect time Talking tonight at
"('positive', 0.978)",positive,Happy,"('Happy', 0.39728162001536926)",I think after the be a pretty solid choice as well
"('positive', 0.645)",positive,Fear,"('Fear', 0.368259642976349)",This be a really strange political moment in both Brazil and the US a lot about leadership in both place
"('negative', 0.722)",negative,Angry,"('Angry', 0.43972180198186045)",stop censor for their work point out the racism of the
"('negative', 0.565)",negative,Bored,"('Bored', 0.285403945573322)",abound after last nights Debate but what be starve for be authentic leadership and someone we c
"('negative', 0.802)",negative,Angry,"('Angry', 0.2572271757030349)",Theres no difference in the these stand for Theyre all sing from the same songbook Its a bad son
"('negative', 0.621)",negative,Angry,"('Angry', 0.5770566086311113)",I think u can stay OFF MY F any you endorse
"('negative', 0.526)",negative,Bored,"('Bored', 0.29201869599755503)",EARTH TO THIS AINT ABOUT YOU
"('neutral', 0.445)",neutral,Bored,"('Bored', 0.5017652624700661)",at the Include and
"('neutral', 0.606)",neutral,Excited,"('Excited', 0.41939703284969393)",go very well My master will soon choose which candidate will carry out their agenda
"('positive', 0.526)",positive,Fear,"('Fear', 0.2703137201838486)",Fact the first presidential debate The Post
"('positive', 0.83)",positive,Excited,"('Excited', 0.2654657106450593)",Trump
"('positive', 0.818)",positive,Excited,"('Excited', 0.33445454650073375)",I love it in the when say the be be exceedingly disrespectful
"('negative', 0.645)",negative,Bored,"('Bored', 0.28126312392725256)",the campaign be troll during
"('neutral', 0.698)",neutral,Excited,"('Excited', 0.23172561368066086)",give prop He saw the same ambush we do at and be call out on it
"('neutral', 0.538)",neutral,Sad,"('Sad', 0.22222465724892004)",attribute that will produce the most qualify and electable candidate Abandon stick in your craw
"('negative', 0.88)",negative,Fear,"('Fear', 0.2965759539357469)",Is it rude to throw a into mouth while theyre talk for a few million
"('neutral', 0.633)",neutral,Angry,"('Angry', 0.6914052503313376)",Dont you DARE try to show me your fruit Ted
"('negative', 0.827)",negative,Angry,"('Angry', 0.36314712235574537)",A fraud get no from true and people A fraud should be impeach
"('negative', 0.534)",negative,Bored,"('Bored', 0.30685520627732105)",I do watch all string can tell y they be string Not enough original and hatred Just standard level
"('positive', 0.761)",positive,Bored,"('Bored', 0.3273185560270213)",A good debate be when you dont even notice the
"('positive', 0.791)",positive,Excited,"('Excited', 0.3558131568906269)",I think we have a clear winner
"('positive', 0.684)",positive,Excited,"('Excited', 0.3292534713139368)",Good eye on spot Patriot on s show We should send you a reward
"('neutral', 0.573)",neutral,Excited,"('Excited', 0.2761986570142508)",In my consider opinion the tonight be Ted Ben and Marco
"('positive', 0.561)",positive,Excited,"('Excited', 0.42471536583287217)",Balderdash be my favorite word that describe s presidential campaign run
"('negative', 0.694)",negative,Fear,"('Fear', 0.28006759541478476)",There be many but just two Trump and Duck and they both quack
"('negative', 0.499)",negative,Fear,"('Fear', 0.3372674272744671)",Ben want all to tithe the federal government I think I just hear the Hunger cannon
"('positive', 0.432)",positive,Sad,"('Sad', 0.4134728581530473)",Hunger Demagog
"('neutral', 0.554)",neutral,Fear,"('Fear', 0.2507217288120491)",from on this key youth vote issue last night ready student loan reform
"('negative', 0.554)",negative,Angry,"('Angry', 0.33835069606410945)",actually with and tell me he didnt say any of this to any of these guy
"('positive', 0.612)",positive,Excited,"('Excited', 0.3512401625985243)",Photo of life
"('neutral', 0.57)",neutral,Excited,"('Excited', 0.22316592954045142)",And now will send more troop to and Any bet on what country be next
"('positive', 0.615)",positive,Happy,"('Happy', 0.25932517213190315)",Would be nice to hear a candidate address Childhood Obesity by promote harbor growth in youth athletics
"('negative', 0.731)",negative,Fear,"('Fear', 0.3046896872985115)",Its possible that didnt know they be go to ask him question
"('negative', 0.914)",negative,Angry,"('Angry', 0.3285360270310637)",The commercial be longer than the question answer
"('positive', 0.784)",positive,Excited,"('Excited', 0.33814987701824034)",Big hit of the for me on and close
"('positive', 0.916)",positive,Excited,"('Excited', 0.6645298564407525)",The real winner in be when tank
"('negative', 0.828)",negative,Fear,"('Fear', 0.4024971535836247)",Had the dream last night think the mess with my subconscious
"('neutral', 0.43)",neutral,Fear,"('Fear', 0.40271243152440384)",men talk about plan parenthood How many of them have give birth
"('negative', 0.574)",negative,Sad,"('Sad', 0.2652223006532264)",I be tweet so hard during the that I think I break my finger Nope but I do dislocate it
"('positive', 0.87)",positive,Excited,"('Excited', 0.4469913870901795)",to I think be the big tonight
"('negative', 0.495)",negative,Fear,"('Fear', 0.30293450426973184)",insult with awkward
"('negative', 0.453)",negative,Bored,"('Bored', 0.24333177270759268)",After the last between
"('neutral', 0.466)",neutral,Fear,"('Fear', 0.25633320255303976)",Dont know if focus group mean jack but lot of new in that crew
"('negative', 0.669)",negative,Fear,"('Fear', 0.45209991273528827)",It compel me to write a cluster of word I never imagine write for Fox News
"('positive', 0.424)",positive,Sad,"('Sad', 0.2238295554276246)",WOW Even be say we should be use be come over to the side
"('positive', 0.528)",positive,Excited,"('Excited', 0.2582240190756372)",frame of Election begin w Republican Debate
"('positive', 0.64)",positive,Excited,"('Excited', 0.47780193757192047)",Treat everyone equally under the law what a great idea Now let elect some to make it a reality
"('negative', 0.638)",negative,Angry,"('Angry', 0.2731930273188439)",surprise Trump doesnt use air quote when he say president
"('positive', 0.636)",positive,Excited,"('Excited', 0.30662604214489725)",Democrat Debate will be more interest Me Yeah two year old white go at it pretty inter
"('negative', 0.657)",negative,Bored,"('Bored', 0.3313539923863461)",Didnt get to watch last nights but sound like it would have make Will Sort of
"('negative', 0.896)",negative,Angry,"('Angry', 0.297740004998201)",Theres visual evidence of s on last nights debate but not post a pic of dog crap at be
"('neutral', 0.734)",neutral,Bored,"('Bored', 0.5186102154953889)",Who win in last nights debate say several people for several reason
"('positive', 0.976)",positive,Excited,"('Excited', 0.39600932184696647)",s national recognition hair be the best thing to come out of the
"('positive', 0.978)",positive,Excited,"('Excited', 0.41109277294198465)",Thats a break system that I have only ever benefit from and still think be awesome
"('negative', 0.851)",negative,Bored,"('Bored', 0.5515086802072484)",on Still dont understand about
"('negative', 0.478)",negative,Angry,"('Angry', 0.6554191329232207)",I dont want my marriage or my gun register in
"('neutral', 0.673)",neutral,Excited,"('Excited', 0.2684367492678764)",bender start now via
"('positive', 0.728)",positive,Bored,"('Bored', 0.3533256250620318)",I Think He Made Her Cry She be so
"('neutral', 0.495)",neutral,Sad,"('Sad', 0.3093333981948043)",If only from now debris from a crash Republican party would wash up on a beach somewhere
"('positive', 0.839)",positive,Excited,"('Excited', 0.3514578437180035)",My personal front for
"('negative', 0.477)",negative,Fear,"('Fear', 0.27931975702191336)",In the aftermath of the incline to say that the stage impress me more than I think Except trump His ride be end
"('neutral', 0.413)",neutral,Angry,"('Angry', 0.2815414033863936)",I make a donation to the Democratic Party in the middle of last nights I dont claim a party affiliation
"('negative', 0.498)",negative,Bored,"('Bored', 0.3395681609550803)",Who here be only a republican because its politically convenient at the moment
"('positive', 0.544)",positive,Happy,"('Happy', 0.2687777083303737)",Youd think would demand more than this asinine a man man I grab my cock screw my wife love
"('negative', 0.791)",negative,Angry,"('Angry', 0.4883105826134557)",Hell no I can think of about she CANT beat NOBODY fear
"('negative', 0.874)",negative,Sad,"('Sad', 0.29100776338197615)",Thought I be do then do this
"('positive', 0.53)",positive,Excited,"('Excited', 0.4008285291036299)",In press release Trump crown self winner of
"('neutral', 0.725)",neutral,Excited,"('Excited', 0.3899443203299205)",The spin room sign be necessary so you know who they be
"('negative', 0.637)",negative,Bored,"('Bored', 0.3806854646645668)",need a reality check that it be HIS brother who mess up Dont put on that
"('negative', 0.752)",negative,Bored,"('Bored', 0.25795334784585205)",yesterday What well see tonight every issue theyre all the same Was correct about
"('positive', 0.798)",positive,Happy,"('Happy', 0.3750129741857883)",You can believe in traditional marriage and believe in marriage too
"('negative', 0.476)",negative,Bored,"('Bored', 0.4749378472094581)",during the
"('neutral', 0.634)",neutral,Fear,"('Fear', 0.2805195992224818)",Giving a free hat away random from the first Go
"('negative', 0.757)",negative,Fear,"('Fear', 0.3251048616974473)",Big man child Trump be mad at Kelly for call out his garbage
"('negative', 0.851)",negative,Bored,"('Bored', 0.3326361315386241)",Been on my mind all day you do a terrible job last night You be of the night
"('positive', 0.997)",positive,Excited,"('Excited', 0.3275938054375564)",Thank you Trump
"('negative', 0.914)",negative,Angry,"('Angry', 0.48667443775035824)",be hit a nerve in this country
"('positive', 0.833)",positive,Happy,"('Happy', 0.2926227741771909)",s Standout Performance in | |
"('neutral', 0.816)",neutral,Bored,"('Bored', 0.2942167083542656)",When will the decide who move up to the varsity debate and who go down to the debate
"('negative', 0.808)",negative,Angry,"('Angry', 0.23343521169595313)",She be mean to me Tried call me I sure to her on how should behave
"('positive', 0.844)",positive,Happy,"('Happy', 0.4187125844528279)",Graham As you watch the pray for the future of this nation and that would turn back to God
"('positive', 0.499)",positive,Excited,"('Excited', 0.4777058651724062)",Sanders the via
"('negative', 0.793)",negative,Angry,"('Angry', 0.266660688145022)",The police have kill more unarm and arm than Why dont we spend more than talk about
"('negative', 0.824)",negative,Angry,"('Angry', 0.28469573047443286)",on the stupidity of the voter on at the
"('negative', 0.549)",negative,Fear,"('Fear', 0.2636752957994859)",I try to watch the debate but instead I watch play Who Grew Up the
"('positive', 0.61)",positive,Fear,"('Fear', 0.22253433894719665)",Ben at via
"('negative', 0.745)",negative,Angry,"('Angry', 0.3329659179049221)",Now How poorly do fare @ can be stop
"('positive', 0.374)",positive,Excited,"('Excited', 0.27084354874850997)",my from last nights all pseudo full of
"('negative', 0.466)",negative,Bored,"('Bored', 0.3706866070746997)",now the republican love Racism love a Black man who submit stop now
"('positive', 0.852)",positive,Excited,"('Excited', 0.4963954385791583)",This make me laugh
"('neutral', 0.469)",neutral,Bored,"('Bored', 0.3384804568317)",leave out of The debate be a zone
"('positive', 0.876)",positive,Excited,"('Excited', 0.4012541261501554)",I love it in the when say on occasion use the of to his advantage
"('negative', 0.945)",negative,Bored,"('Bored', 0.49255931491707233)",Neither nor defend at
"('positive', 0.793)",positive,Excited,"('Excited', 0.4050607223888742)",Those be the that God should take care of so she ask if they have any word from God yet
"('positive', 0.891)",positive,Excited,"('Excited', 0.48209980544326403)",I think you do a great job with the panel it be great to see hard question be put forward
"('negative', 0.723)",negative,Angry,"('Angry', 0.24908000844266293)",MANNIE WATCHING DEY ACTIN DUM
"('negative', 0.746)",negative,Sad,"('Sad', 0.25704322503517385)",Neither in explicitly candidate
"('positive', 0.458)",positive,Excited,"('Excited', 0.34692234156810264)",rival a grand production of a Bailey circus with mudslinging on pa
"('positive', 0.627)",positive,Excited,"('Excited', 0.26582232998165545)",Donated to in name during the
"('negative', 0.6)",negative,Sad,"('Sad', 0.32009222022408207)",graduation rate be last when Bush leave office
"('negative', 0.939)",negative,Bored,"('Bored', 0.36960859432808896)",Liar Ted be a liar
"('negative', 0.695)",negative,Fear,"('Fear', 0.4883638159581257)",cant believe that actually happen last night the
"('neutral', 0.649)",neutral,Fear,"('Fear', 0.406294834763595)",Is it jut me or be play D chess in a room full of checker
"('positive', 0.482)",positive,Sad,"('Sad', 0.2644042126654238)",The Blues August Edition I should have post a cure to the drink game
"('negative', 0.895)",negative,Angry,"('Angry', 0.4127761846505229)",not of these s
"('neutral', 0.565)",neutral,Excited,"('Excited', 0.3491593879438442)",win falter exaggerate Good idea
"('positive', 0.794)",positive,Happy,"('Happy', 0.19177216136295805)",One of the in the country correct Whats life like for them
"('positive', 0.807)",positive,Sad,"('Sad', 0.24879355358624355)",Brother of the guy who almost plunge US into a Great Depression be tell you the guy who fix it be the problem
"('negative', 0.634)",negative,Sad,"('Sad', 0.2667868502909492)",Fox Statistics in Explaining Its Debate Decision
"('positive', 0.468)",positive,Bored,"('Bored', 0.2708607649550233)",Fox News be second rate last night Fair and Balanced need to be replace with and Terrible job Fox
"('negative', 0.631)",negative,Angry,"('Angry', 0.31259300485358027)",Terminate the deal on day one put even more cripple sanction in place convince ally to do same say
"('positive', 0.639)",positive,Excited,"('Excited', 0.29374592211422773)",The only true be and be really make the case to be the nominee though
"('positive', 0.786)",positive,Happy,"('Happy', 0.3191747068889365)",back at the perfect time Talking tonight at
"('neutral', 0.847)",neutral,Fear,"('Fear', 0.29997487317849136)",I be of see THROUGH the BIAS SETUP TRICK Favor
"('negative', 0.581)",negative,Bored,"('Bored', 0.3500535702126727)",PREDICTION Bush Trump millions dont vote Bush be a
"('positive', 0.791)",positive,Excited,"('Excited', 0.3558131568906269)",I think we have a clear winner
"('neutral', 0.688)",neutral,Excited,"('Excited', 0.2243818010712337)",The truth will set us free Trump make one shockingly insightful comment re money v
"('positive', 0.55)",positive,Happy,"('Happy', 0.22892032467825602)",@
"('neutral', 0.466)",neutral,Bored,"('Bored', 0.32512409619173677)",Marco be rehash his past campaign be fool own by Guard He need a real job
"('negative', 0.672)",negative,Bored,"('Bored', 0.30391798760697974)",After last night I want to hear clear answer for education tax and immigration
"('neutral', 0.576)",neutral,Fear,"('Fear', 0.31967672048369694)",you once tell a contestant on Celebrity Apprentice it would be a pretty picture to see her on her
"('neutral', 0.673)",neutral,Excited,"('Excited', 0.2684367492678764)",bender start now via
"('neutral', 0.522)",neutral,Happy,"('Happy', 0.3579171629669812)",let my people GO
"('positive', 0.84)",positive,Angry,"('Angry', 0.4549160169703442)",Thanks to give me my life at the exact moment the be kill me
"('neutral', 0.776)",neutral,Angry,"('Angry', 0.21390519340685613)",make the about sex instead of get the White House
"('neutral', 0.68)",neutral,Excited,"('Excited', 0.19296045902768363)",Democrat announce during he will join in make it easier for to get
"('neutral', 0.551)",neutral,Excited,"('Excited', 0.223198592905557)",This be a but if win the Republican Nomination and choose have his Running Mate have my Vote
"('neutral', 0.602)",neutral,Bored,"('Bored', 0.33427243921881816)",should be vigorously defend who be savage during the
"('neutral', 0.736)",neutral,Excited,"('Excited', 0.3646401401710392)",be great but for who want to take a positive step for our state on please attend
"('neutral', 0.527)",neutral,Excited,"('Excited', 0.26959606037346073)",the resemblance be uncanny
"('neutral', 0.568)",neutral,Angry,"('Angry', 0.34401536954025735)",S leave out of On the th anniversary of the Voting Act vote right be not mention once
"('positive', 0.912)",positive,Excited,"('Excited', 0.43986369534366626)",be perfect candidate Great performance at with truth rat via
"('negative', 0.741)",negative,Angry,"('Angry', 0.6323602938400777)",do not touch several important issue Trump get most time
"('positive', 0.658)",positive,Excited,"('Excited', 0.40691314243562904)",Its time to evolve on sir Yes be real too
"('positive', 0.998)",positive,Excited,"('Excited', 0.6334483030263381)",Wow Amazing country we live in where be elicit praise
"('neutral', 0.51)",neutral,Angry,"('Angry', 0.37097051748030735)",If the sit front row at wed do he score an invite to
"('neutral', 0.393)",neutral,Bored,"('Bored', 0.30198597663069376)",Anyone hear from God yet
"('negative', 0.806)",negative,Angry,"('Angry', 0.30912207872890707)",So quit the same day of the I feel like he be go to miss the comedic election of all time
"('neutral', 0.57)",neutral,Fear,"('Fear', 0.33908016686184117)",You know the last night be horribly run when say it be well organize
"('negative', 0.408)",negative,Bored,"('Bored', 0.3556428809315209)",Debate and Who impress who flop and who flail last night
"('negative', 0.806)",negative,Angry,"('Angry', 0.31623467216855766)",political wrong people dont share their true political feel via poll scan social media
"('negative', 0.519)",negative,Sad,"('Sad', 0.29335719458573956)",should have be ask the question on police of and the civil right movement of our time Not Walker
"('neutral', 0.645)",neutral,Excited,"('Excited', 0.43010536220539897)",Gentle Reminder fire people from then take
"('neutral', 0.953)",neutral,Excited,"('Excited', 0.38634046847421805)",use money just like use race Whats the difference
"('neutral', 0.67)",neutral,Excited,"('Excited', 0.2218372481528834)",The be like watch The without the rise ceremony
"('positive', 0.652)",positive,Bored,"('Bored', 0.2657608582386881)",I believe the people be look for someone to tell the truth
"('negative', 0.625)",negative,Bored,"('Bored', 0.33229517032477823)",Me during this social issue section of the debate
"('neutral', 0.839)",neutral,Bored,"('Bored', 0.3703391883098065)",Add this to with
"('negative', 0.461)",negative,Angry,"('Angry', 0.23566936368400696)",Really Hey you be face to face with her less than a day ago then you cast shade of Twitter
"('positive', 0.4)",positive,Fear,"('Fear', 0.2906161822207579)",Unplanned parenthood go to have a Trump
"('neutral', 0.658)",neutral,Excited,"('Excited', 0.3546743659443262)",By smear of as pervert the into a weapon to GUARANTEE
"('positive', 0.968)",positive,Excited,"('Excited', 0.3621295735228464)",be brilliant last night as always I love or ticket for the win h
"('positive', 0.393)",positive,Fear,"('Fear', 0.34027645808919177)",My see a similarity
"('negative', 0.864)",negative,Angry,"('Angry', 0.4822495577861721)",leave out of The entire conversation around last a total of second
"('positive', 0.378)",positive,Excited,"('Excited', 0.2976629730356789)",ball would make a phenomenal contrast against the dilapidate figure of a dishonest and corrupt
"('negative', 0.797)",negative,Fear,"('Fear', 0.23002895552938357)",Trump on his stupid rival and other and low of the from
"('positive', 0.373)",positive,Bored,"('Bored', 0.257664607724601)",Opinion Trump lose but and triumph via
"('positive', 0.859)",positive,Excited,"('Excited', 0.42441166923993856)",Marco emerge as the party star
"('positive', 0.829)",positive,Fear,"('Fear', 0.27809918274301143)",GOOD point could know a lot about foreign land since she send our job there
"('positive', 0.97)",positive,Happy,"('Happy', 0.5017687084069439)",Nothing new Same old song and dance
"('negative', 0.488)",negative,Angry,"('Angry', 0.4021916439753344)",Ben I will end polarization by remove health insurance from million
"('negative', 0.708)",negative,Angry,"('Angry', 0.2900815878543024)",stop waste air time on this chump What a waste He carry a conversation w any world leader
"('negative', 0.893)",negative,Sad,"('Sad', 0.3955194713166286)",I didnt get a phone call from Bill | Fox News Republican Debate VIDEO
"('negative', 0.451)",negative,Angry,"('Angry', 0.2822451888537809)",Last night be a bad game show FOX should be embarrass Like without rubber and water hazard
"('negative', 0.426)",negative,Bored,"('Bored', 0.3591853509722224)",Trump diss Kelly a news
"('negative', 0.509)",negative,Angry,"('Angry', 0.6113231181314157)",Hey dont go bring into the
"('neutral', 0.507)",neutral,Angry,"('Angry', 0.22210706220995252)",If its not clear to yet we be go to have to win the primary with NO fair treatment from the media
"('negative', 0.955)",negative,Bored,"('Bored', 0.4442793409380984)",Somebody have sleep through the last few election cycle Not to mention complete and utter lack of enthusiasm on leave
"('positive', 0.849)",positive,Excited,"('Excited', 0.3409521937213213)",The Fox News run the show last night exactly the way Chairman instruct
"('positive', 0.514)",positive,Happy,"('Happy', 0.30083418849724847)",cant wait for your video
"('negative', 0.533)",negative,Angry,"('Angry', 0.2407434030780558)",New Poll lead by Trump lose by
"('negative', 0.68)",negative,Angry,"('Angry', 0.39395999319001357)",Dont think need to explain anything about be a fat ugly pig to her
"('positive', 0.99)",positive,Excited,"('Excited', 0.4240299035350989)",A very cool share by about the last night
"('negative', 0.553)",negative,Angry,"('Angry', 0.20568569472636272)",Biggest Loser in
"('negative', 0.627)",negative,Fear,"('Fear', 0.3834776715708933)",Can we please stop use to get some kind of bizarre street
"('negative', 0.533)",negative,Bored,"('Bored', 0.41235582405565596)",lie about I can do this job I need your help
"('neutral', 0.641)",neutral,Fear,"('Fear', 0.240892733283564)",The minority community guess who say it
"('neutral', 0.741)",neutral,Sad,"('Sad', 0.2395900049521245)",From our Live Chat Room
"('negative', 0.623)",negative,Angry,"('Angry', 0.3252975841428721)",You didnt do a bad job but a reporter should never scold say like You mean to tell me Do better
"('negative', 0.417)",negative,Fear,"('Fear', 0.23369660686460642)",slurp so hard on they get brain freeze have offer an award
"('neutral', 0.776)",neutral,Fear,"('Fear', 0.21095907429598412)",show his color wait for him to announce his with
"('neutral', 0.498)",neutral,Bored,"('Bored', 0.3163484485032616)",On the subject of
"('negative', 0.5)",negative,Fear,"('Fear', 0.2584954144143661)",I think this be the most compel moment of the
"('negative', 0.773)",negative,Angry,"('Angry', 0.4401311990025493)",leave out of Despite its centrality to so many important issue economic inequality be not mention once
"('neutral', 0.788)",neutral,Sad,"('Sad', 0.26193039409718644)",Can trump be in the democratic debate too
"('neutral', 0.667)",neutral,Excited,"('Excited', 0.28079158478440086)",Check out my recap of last nights
"('neutral', 0.835)",neutral,Excited,"('Excited', 0.5896832454481172)",be fundamentally an absurd figure so be his rival
"('negative', 0.839)",negative,Bored,"('Bored', 0.4241034815864408)",What I saw a Q and A session nothing excite same old same old
"('negative', 0.565)",negative,Angry,"('Angry', 0.25710603581190294)",be a If we feel sorry for him the more fool us
"('negative', 0.362)",negative,Excited,"('Excited', 0.2899554863132005)",After last nights there can be no doubt the rule
